product_id,product_name,category,unit_price,unit_cost
7071,Cycling Helmet (Midnight Blue),Sports & Outdoors,20.99,11.41
2549,Digital Kitchen Scale (Midnight Blue),Home & Kitchen,25.99,9.7
5239,Yoga Mat 6mm Non-Slip (Graphite),Sports & Outdoors,43.95,16.81
9476,Eyeshadow Palette 18 Shades,Apparel,5.99,2.76
1043,Action Camera 4K,Electronics,33.99,19.34
4734,Wireless Noise-Cancelling Headphones (Graphite),Electronics,58.99,39.4
6990,Memory Foam Pillow (Midnight Blue),Home & Kitchen,64.99,35.66
8350,Eyeshadow Palette 18 Shades (Graphite),Beauty,14.95,11.19
8704,Smart LED Desk Lamp (Graphite),Electronics,8.49,4.41
5264,Smart Home Hub,Electronics,15.99,6.24
1014,Cycling Helmet (Sand),Sports & Outdoors,9.49,3.86
1588,Air Purifier HEPA (Graphite),Home & Kitchen,96.99,51.29
9424,"4K OLED Smart TV 55""",Electronics,32.99,23.2
2365,Robot Vacuum Pro (Graphite),Electronics,47.99,32.71
6651,Sheet Mask Brightening 10-Pack,Beauty,8.99,6.51
3795,Bamboo Cutting Board Set (Graphite),Home & Kitchen,31.95,19.97
5490,Smart Home Hub (Graphite),Electronics,42.99,23.8
6718,Pour-Over Coffee Set (Graphite),Home & Kitchen,69.49,50.88
8540,Agility Ladder (Midnight Blue),Sports & Outdoors,105.95,65.86
8941,Electric Face Cleanser Brush (Midnight Blue),Apparel,49.99,20.4
8060,Instant Pot 6Qt,Home & Kitchen,96.99,58.85
6757,Eyeshadow Palette 18 Shades (Midnight Blue),Apparel,79.99,53.57
8407,Contour Palette 3 Shades (Midnight Blue),Apparel,45.99,29.03
8702,Jade Roller Face Massager (Graphite),Beauty,96.99,54.79
7622,Robot Vacuum Pro (Midnight Blue),Electronics,44.99,27.27
4004,Eyebrow Pencil Micro (Midnight Blue),Apparel,19.99,13.31
3225,"27"" Monitor 144Hz (Midnight Blue)",Electronics,27.99,16.22
7048,Setting Powder Translucent (Midnight Blue),Beauty,127.95,48.57
4234,Aromatherapy Diffuser (Sand),Home & Kitchen,67.99,38.58
6128,Robot Vacuum Pro (Sand),Electronics,42.99,31.43
2859,Wireless Earbuds Pro (Midnight Blue),Electronics,28.99,14.44
1539,Dash Cam Front & Rear (Graphite),Electronics,40.49,17.59
7128,Resistance Bands Set 5-Pack (Midnight Blue),Sports & Outdoors,30.99,18.06
5157,Stainless Steel Knife Set (Graphite),Home & Kitchen,20.99,14.47
6442,"Tablet 10.5"" WiFi (Midnight Blue)",Electronics,22.99,12.78
5070,Sheet Mask Brightening 10-Pack (Graphite),Apparel,7.49,2.97
1440,Setting Powder Translucent (Sand),Beauty,117.0,57.9
4435,Webcam 1080p,Electronics,31.95,13.93
9984,Smartwatch Series 5 (Midnight Blue),Electronics,54.99,41.6
7495,Portable Charger 20000mAh (Graphite),Electronics,35.99,18.33
7509,Yoga Mat 6mm Non-Slip (Midnight Blue),Sports & Outdoors,9.95,4.59
4574,Portable Charger 20000mAh (Midnight Blue),Electronics,13.99,6.81
8655,Wireless Earbuds Pro (Sand),Electronics,353.0,234.13
9402,E-Reader Paperwhite (Midnight Blue),Electronics,7.99,3.88
4872,Robot Vacuum Pro (2-Pack),Electronics,15.95,7.27
8550,Smart LED Desk Lamp (Midnight Blue),Electronics,11.49,5.38
4094,Protein Shaker Bottle (Graphite),Sports & Outdoors,27.99,14.48
7219,E-Reader Paperwhite (Sand),Electronics,239.99,178.35
2621,Eyebrow Pencil Micro (Sand),Apparel,32.99,24.88
3910,Contour Palette 3 Shades (Sand),Beauty,33.95,16.86
3561,Portable Bluetooth Speaker (Graphite),Electronics,20.95,10.84
8205,Cotton Percale Sheet Set Queen,Home & Kitchen,37.99,24.03
6153,SPF 50 Sunscreen Lightweight (Sand),Apparel,84.99,43.99
8845,Dash Cam Front & Rear (Midnight Blue),Electronics,178.99,113.36
1234,Protein Shaker Bottle (Midnight Blue),Sports & Outdoors,141.99,79.95
3338,Pull-Up Bar Doorframe (Graphite),Sports & Outdoors,32.99,19.04
4925,Contour Palette 3 Shades (2-Pack),Beauty,208.49,160.32
6188,French Press Coffee Maker (Midnight Blue),Home & Kitchen,40.99,28.25
8561,Wireless Earbuds Pro (2-Pack),Electronics,49.0,31.41
5703,Pull-Up Bar Doorframe (Midnight Blue),Sports & Outdoors,144.99,59.57
5275,Portable Charger 20000mAh (Sand),Electronics,71.99,29.78
6214,Shower Curtain Liner (Midnight Blue),Home & Kitchen,21.95,13.44
1004,Silicone Baking Mat Set (Midnight Blue),Home & Kitchen,47.99,24.57
4729,Mechanical Keyboard,Electronics,8.99,5.75
2548,Non-Stick Cookware Set 10-Piece (Sand),Home & Kitchen,8.95,3.62
6723,Waterproof Mascara,Beauty,94.99,52.71
9044,SPF 50 Sunscreen Lightweight (2-Pack),Beauty,18.49,10.33
8664,Smart Plug 4-Pack (Graphite),Electronics,17.95,11.74
4053,Waterproof Mascara (Graphite),Beauty,106.99,69.4
7265,Retinol Night Cream (Graphite),Apparel,94.95,69.89
9292,Adjustable Dumbbells 50lb,Sports & Outdoors,10.99,6.43
6359,Agility Ladder (Sand),Sports & Outdoors,32.99,21.78
4790,Keratin Smoothing Shampoo (Graphite),Apparel,6.95,3.3
9321,Agility Ladder (2-Pack),Sports & Outdoors,177.95,93.1
6150,Tinted Moisturizer SPF 30,Beauty,70.99,42.94
2145,Portable SSD 1TB (Graphite),Electronics,155.95,87.16
7140,Sheet Mask Brightening 10-Pack (Midnight Blue),Apparel,17.99,7.08
4002,Eyeshadow Palette 18 Shades (Sand),Beauty,55.99,26.98
1512,Wireless Earbuds Pro (Compact),Electronics,107.0,47.91
1840,Medicine Ball 15lb (Graphite),Sports & Outdoors,64.49,39.58
5777,E-Reader Paperwhite (2-Pack),Electronics,111.0,78.65
8900,Smart Plug 4-Pack (Midnight Blue),Electronics,11.95,7.22
9285,Soccer Ball Size 5,Sports & Outdoors,88.49,62.39
2735,Ab Wheel Roller,Sports & Outdoors,55.99,25.9
5519,"Tablet 10.5"" WiFi (Sand)",Electronics,24.49,10.01
6259,Ab Wheel Roller (Graphite),Sports & Outdoors,109.95,77.16
9676,Knee Sleeves Compression,Sports & Outdoors,18.99,10.59
5914,Foam Roller Deep Tissue (Graphite),Sports & Outdoors,26.99,15.78
9270,Hyaluronic Acid Moisturizer (Midnight Blue),Beauty,15.99,9.34
3814,Jade Roller Face Massager (Midnight Blue),Apparel,35.95,21.45
6423,Electric Face Cleanser Brush (Sand),Beauty,16.49,8.02
1655,Smart Home Hub (Midnight Blue),Electronics,26.99,13.3
1716,Hyaluronic Acid Moisturizer (Sand),Beauty,129.99,66.78
2619,Portable Bluetooth Speaker (Midnight Blue),Electronics,25.95,19.4
5535,Yoga Mat 6mm Non-Slip (Sand),Sports & Outdoors,14.99,8.46
1939,USB-C Laptop Stand (Graphite),Electronics,41.95,27.33
1270,Setting Powder Translucent (2-Pack),Beauty,16.95,12.49
9004,Keratin Smoothing Shampoo (Midnight Blue),Beauty,80.99,53.54
7838,Electric Face Cleanser Brush (2-Pack),Beauty,6.49,3.44
5346,Knee Sleeves Compression (Graphite),Sports & Outdoors,57.99,34.24
8964,Glass Food Storage Containers,Home & Kitchen,175.99,119.6
7350,Stainless Steel Knife Set (Midnight Blue),Home & Kitchen,45.0,34.45
4868,Smartwatch Series 5 (Sand),Electronics,22.99,10.97
2308,"Cast Iron Skillet 12"" (Graphite)",Home & Kitchen,68.95,51.02
3642,Charcoal Face Mask,Beauty,169.95,109.54
6438,Running Shoes Trail,Sports & Outdoors,27.99,21.54
4158,Shower Curtain Liner (Sand),Home & Kitchen,53.95,33.32
4303,Eyeshadow Palette 18 Shades (2-Pack),Apparel,40.95,31.05
1408,Dash Cam Front & Rear (Sand),Electronics,30.99,23.2
7567,Vitamin C Serum 20% (Midnight Blue),Apparel,4.49,3.5
2468,Hyaluronic Acid Moisturizer (2-Pack),Beauty,26.99,18.67
3589,Vitamin C Serum 20% (Sand),Beauty,52.95,29.91
1193,Retinol Night Cream (Midnight Blue),Apparel,102.99,65.22
8405,Smart Plug 4-Pack (Sand),Electronics,18.49,7.3
5415,Aromatherapy Diffuser (2-Pack),Home & Kitchen,100.95,47.78
3135,Yoga Mat 6mm Non-Slip (2-Pack),Sports & Outdoors,16.95,6.89
2226,Silicone Baking Mat Set (Sand),Home & Kitchen,181.0,107.17
1503,Sheet Mask Brightening 10-Pack (Sand),Apparel,27.99,16.13
9140,Eyeshadow Palette 18 Shades (Compact),Apparel,9.99,6.46
5869,E-Reader Paperwhite (Compact),Electronics,54.99,32.83
3053,Wireless Noise-Cancelling Headphones (Midnight Blue),Electronics,10.99,4.76
1786,Smart Home Hub (Sand),Electronics,33.49,21.04
5797,SPF 50 Sunscreen Lightweight (Compact),Beauty,20.99,11.31
9343,Glass Food Storage Containers (Graphite),Home & Kitchen,46.99,25.04
8356,Soccer Ball Size 5 (Graphite),Sports & Outdoors,42.99,17.73
3852,Air Purifier HEPA (Midnight Blue),Home & Kitchen,26.99,10.68
5982,Adjustable Dumbbells 50lb (Graphite),Sports & Outdoors,38.99,28.16
8236,Hyaluronic Acid Moisturizer (Compact),Beauty,10.95,4.9
9518,Cotton Percale Sheet Set Queen (Graphite),Home & Kitchen,12.95,9.19
3367,Shower Curtain Liner (2-Pack),Home & Kitchen,44.95,25.09
9763,Eyeshadow Palette 18 Shades (XL),Apparel,58.0,32.85
3455,Cotton Percale Sheet Set Queen (Midnight Blue),Home & Kitchen,224.0,145.65
5682,Setting Powder Translucent (Compact),Beauty,26.99,14.6
6688,WiFi 6 Router (Midnight Blue),Electronics,24.0,12.86
1442,Ergonomic Gaming Mouse (Midnight Blue),Electronics,86.99,40.05
5384,Weight Belt,Sports & Outdoors,155.99,99.24
3565,SPF 50 Sunscreen Lightweight (XL),Beauty,55.99,28.87
5973,Dish Rack Stainless Steel,Home & Kitchen,22.99,11.04
3403,Dish Rack Stainless Steel (Graphite),Home & Kitchen,50.99,32.73
4613,Contour Palette 3 Shades (Compact),Apparel,33.95,20.03
4050,Foam Roller Deep Tissue (Midnight Blue),Sports & Outdoors,15.99,5.79
3650,Wireless Noise-Cancelling Headphones (Sand),Electronics,14.95,10.82
8203,Silicone Baking Mat Set (2-Pack),Home & Kitchen,89.99,67.12
4571,Silicone Baking Mat Set (Compact),Home & Kitchen,22.99,17.55
7279,Soccer Ball Size 5 (Midnight Blue),Sports & Outdoors,9.99,4.92
6892,Aromatherapy Diffuser (Compact),Home & Kitchen,23.99,9.54
1030,Aromatherapy Diffuser (XL),Home & Kitchen,11.49,8.53
3953,Waterproof Mascara (Midnight Blue),Beauty,52.99,38.23
6577,Basketball Official Size,Sports & Outdoors,84.99,63.41
2651,Contour Palette 3 Shades (XL),Apparel,8.95,5.23
3531,Weight Belt (Graphite),Sports & Outdoors,399.99,212.06
2981,"Cast Iron Skillet 12"" (Midnight Blue)",Home & Kitchen,4.99,3.2
3119,Pour-Over Coffee Set (Midnight Blue),Home & Kitchen,156.99,113.71
1102,Smartwatch Series 5 (2-Pack),Electronics,28.49,15.12
2722,Yoga Mat 6mm Non-Slip (Compact),Sports & Outdoors,20.95,12.41
6686,"27"" Monitor 144Hz (Sand)",Electronics,21.95,13.6
4443,USB-C Laptop Stand (Midnight Blue),Electronics,38.95,28.06
5718,Gym Bag Large,Sports & Outdoors,119.99,82.54
1249,Knee Sleeves Compression (Midnight Blue),Sports & Outdoors,77.99,45.82
5989,Eyeshadow Palette 18 Shades (Pro),Beauty,171.99,104.74
8140,Ab Wheel Roller (Midnight Blue),Sports & Outdoors,49.95,22.25
5801,Electric Face Cleanser Brush (Compact),Beauty,7.95,3.46
3081,Setting Powder Translucent (XL),Beauty,74.99,46.14
5421,French Press Coffee Maker (Sand),Home & Kitchen,43.99,33.66
1317,Agility Ladder (Compact),Sports & Outdoors,30.95,15.82
7985,Tinted Moisturizer SPF 30 (Graphite),Beauty,45.99,20.05
6087,Dash Cam Front & Rear (2-Pack),Electronics,28.99,20.56
7019,Basketball Official Size (Graphite),Sports & Outdoors,46.99,19.17
2098,Jade Roller Face Massager (Sand),Beauty,111.95,79.94
4527,WiFi 6 Router (Sand),Electronics,61.0,26.45
2358,Non-Stick Cookware Set 10-Piece (2-Pack),Home & Kitchen,95.49,60.42
6048,Keratin Smoothing Shampoo (Sand),Beauty,296.99,209.37
7570,USB-C Laptop Stand (Sand),Electronics,34.95,20.32
2055,Cycling Helmet (2-Pack),Sports & Outdoors,45.99,32.4
6766,Vitamin C Serum 20% (2-Pack),Apparel,29.99,15.52
7034,Waterproof Mascara (Sand),Beauty,99.99,46.36
1291,Ceramic Dinnerware Set 12-Piece (Graphite),Home & Kitchen,82.0,39.06
6958,Mechanical Keyboard (Graphite),Electronics,130.49,50.14
3037,Gym Bag Large (Graphite),Sports & Outdoors,50.0,22.55
2276,Memory Foam Pillow (Sand),Home & Kitchen,182.99,130.12
1319,Sheet Mask Brightening 10-Pack (2-Pack),Beauty,21.99,16.84
9685,Smart Plug 4-Pack (2-Pack),Electronics,69.99,30.15
5463,Action Camera 4K (Graphite),Electronics,39.99,25.64
9362,Sheet Mask Brightening 10-Pack (Compact),Apparel,7.99,3.49
9443,Jade Roller Face Massager (2-Pack),Beauty,35.95,22.75
6434,Jump Rope Speed (Graphite),Sports & Outdoors,12.99,6.46
8756,Agility Ladder (XL),Sports & Outdoors,14.49,10.63
9653,Agility Ladder (Pro),Sports & Outdoors,95.99,44.24
5634,Shower Curtain Liner (Compact),Home & Kitchen,95.49,72.5
2050,"Tablet 10.5"" WiFi (2-Pack)",Electronics,12.0,7.76
8614,Sheet Mask Brightening 10-Pack (XL),Beauty,25.99,10.62
2383,Air Purifier HEPA (Sand),Home & Kitchen,11.99,5.66
8842,Charcoal Face Mask (Graphite),Apparel,20.95,8.12
5999,Micellar Cleansing Water,Beauty,8.99,4.48
6829,Eyeshadow Palette 18 Shades (Classic),Apparel,59.99,41.15
4831,Memory Foam Pillow (2-Pack),Home & Kitchen,13.49,9.33
6420,Action Camera 4K (Midnight Blue),Electronics,47.95,19.49
5768,Stainless Steel Knife Set (Sand),Home & Kitchen,36.49,23.52
6275,Memory Foam Pillow (Compact),Home & Kitchen,41.99,27.08
5209,Digital Kitchen Scale (Sand),Home & Kitchen,87.99,36.8
3572,Resistance Bands Set 5-Pack (Sand),Sports & Outdoors,82.99,51.56
7598,Argan Oil Hair Treatment (Sand),Beauty,40.95,19.76
7187,Eyeshadow Palette 18 Shades (Matte Black),Apparel,18.95,9.32
8029,USB-C Laptop Stand (2-Pack),Electronics,374.95,224.39
7632,Charcoal Face Mask (Midnight Blue),Beauty,46.99,32.12
5998,"27"" Monitor 144Hz (2-Pack)",Electronics,8.99,7.01
4890,Under-Cabinet LED Lights,Home & Kitchen,62.95,39.63
2792,Weight Belt (Midnight Blue),Sports & Outdoors,49.99,38.56
2394,Smart LED Desk Lamp (Sand),Electronics,21.99,11.58
